sort_inner,sort_attribute,option_tag_attribute_value,textCount,name_url
1,1,4,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/boohoo.html
1,1,4,3,/Users/mdjavedulferdous/Documents/Dataset/Testing/boohoo.html
0,0,29,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/boohoo.html
1,0,13,16,/Users/mdjavedulferdous/Documents/Dataset/Testing/boohoo.html
1,0,9,11,/Users/mdjavedulferdous/Documents/Dataset/Testing/boohoo.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/boohoo.html
0,0,25,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/boohoo.html
0,0,20,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/boohoo.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/boohoo.html
0,0,8,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/boohoo.html
0,0,38,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/boohoo.html
0,0,7,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/boohoo.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/boohoo.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/boohoo.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/boohoo.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/boohoo.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/boohoo.html
0,0,10,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/boohoo.html
0,0,14,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/boohoo.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/boohoo.html
0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/boohoo.html
