sort_inner,sort_attribute,option_tag_attribute_value,textCount,name_url
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,15,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,15,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,15,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,15,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,8,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,7,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,12,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,11,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,11,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,19,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,73,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
1,0,7,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,16,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,18,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,8,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,24,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,9,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,34,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
1,0,5,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,9,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,7,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/fashionphile.html
