sort_inner,sort_attribute,option_tag_attribute_value,textCount,name_url
1,1,8,5,/Users/mdjavedulferdous/Documents/Dataset/Testing/freepeople.html
0,0,10,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/freepeople.html
0,0,7,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/freepeople.html
1,0,11,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/freepeople.html
0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/freepeople.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/freepeople.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/freepeople.html
1,0,17,15,/Users/mdjavedulferdous/Documents/Dataset/Testing/freepeople.html
1,0,8,5,/Users/mdjavedulferdous/Documents/Dataset/Testing/freepeople.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/freepeople.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/freepeople.html
0,0,7,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/freepeople.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/freepeople.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/freepeople.html
0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/freepeople.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/freepeople.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/freepeople.html
0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/freepeople.html
