sort_inner,sort_attribute,option_tag_attribute_value,textCount,name_url
0,0,7,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,7,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
1,0,54,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,13,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,13,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,12,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,12,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
1,0,8,4,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,8,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
1,0,5,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
1,0,5,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,0,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,5,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,6,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
1,0,2,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
1,0,7,2,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,9,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
1,0,8,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
1,0,60,15,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
1,0,8,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
1,0,8,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
1,0,8,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
1,0,8,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,11,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,11,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
1,0,193,42,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,1,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
1,0,4,1,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,2,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,4,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
0,0,3,0,/Users/mdjavedulferdous/Documents/Dataset/Testing/realtor.html
